protein_id,homolog_group,st,embedding
1384057_0:000985|Ureibacillus_sinduriensis_BLB-1_=_JCM_15800.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.03376779  0.02350282 -0.01733755 ...  0.03111064 -0.00863082
 -0.00067264]"
502049_2:0003f2|Thalassospira_profundimaris.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.0558066   0.04021171  0.0044552  ...  0.03619782 -0.02766444
  0.01162919]"
227605_0:000b0b|Methylocella_tundrae.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.00965084  0.00866409  0.00822086 ...  0.03673716 -0.02045706
  0.04087945]"
323097_0:00019d|Nitrobacter_hamburgensis_X14.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.01068493  0.01392644  0.01025137 ...  0.03564727 -0.02501173
  0.0346765 ]"
659016_0:00055b|Allopusillimonas_soli.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.01218546  0.00862162  0.01117528 ...  0.02840729 -0.0091038
  0.04852872]"
1265_3:00077b|Ruminococcus_flavefaciens.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.05814944 -0.00856819  0.03242044 ...  0.00308321  0.05292242
  0.04563441]"
55211_0:000844|Erwinia_persicina.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.05769594  0.05272729  0.01625947 ...  0.0385702  -0.02603105
  0.01681038]"
2056226_0:000d17|Minwuia_thermotolerans.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.05049295  0.03041151  0.00315485 ...  0.03852075 -0.01899288
  0.00789398]"
882440_0:00196c|Actinomadura_geliboluensis.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.07141438  0.03028997  0.00832012 ...  0.04449608 -0.03689279
 -0.00582251]"
1160707_0:000267|Ureibacillus_thermosphaericus_str._Thermo-BF.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.02270767  0.01313407 -0.02433163 ...  0.03272763  0.00201545
 -0.00122238]"
280_0:000d5f|Xanthobacter_autotrophicus.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.01043501 -0.00732152  0.00689802 ...  0.03986057 -0.02054263
  0.03222945]"
1882734_0:0000c3|Salinicola_sp._MIT1003.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.04289912  0.03793498  0.01190325 ...  0.03924702 -0.03200264
  0.02307726]"
293089_0:000aa4|Martelella_mediterranea.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.01147689  0.00870962  0.01640778 ...  0.03994629 -0.00418021
  0.02483306]"
1217691_0:000b16|Acinetobacter_pittii_ANC_4050.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.04306358  0.01181908 -0.00618587 ...  0.02650403 -0.02070052
  0.00989574]"
69373_0:00079f|Curtobacterium_pusillum.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.05886165  0.02489528  0.00674961 ...  0.03125258 -0.03001938
 -0.00376165]"
1537278_0:001431|Janthinobacterium_sp._HH106.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.02676721  0.01247237  0.00567101 ...  0.0336894  -0.0111308
  0.03799185]"
1855373_0:000048|Bacteroidales_bacterium_KHT7.fasta,4-hydroxy-3-methylbut-2-en-1-yl_diphosphate_synthase,0.9381,"[ 0.04359802 -0.00319999  0.00340575 ...  0.0212939   0.03877529
  0.04356116]"
1637859_0:0013d9|Burkholderia_sp._ABCPW_11.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.04907279  0.01243365 -0.02438824 ...  0.00722226 -0.00429995
  0.02591356]"
1629062_0:000af3|Antricoccus_suffuscus.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.07374237  0.0165385  -0.0113297  ...  0.00252047 -0.01016482
  0.00342642]"
1801_0:00140f|Mycolicibacterium_diernhoferi.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.08144913  0.02676934 -0.01176156 ... -0.00159174 -0.02589313
  0.01561646]"
379482_1:0007e2|Marinobacter_pelagius.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.08387031  0.05601674 -0.00730345 ...  0.00730463 -0.0226491
  0.03693229]"
1120940_0:001205|Actinomadura_pelletieri_DSM_43383.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.08242693  0.020014   -0.02023465 ...  0.00313227 -0.0063735
  0.0118111 ]"
1196083_3:000799|Snodgrassella_alvi.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.06884539  0.0201616  -0.02438818 ... -0.01517588  0.02637175
  0.04278458]"
491952_0:00011f|Marinomonas_posidonica_IVIA-Po-181.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.07845158  0.02013862 -0.02479058 ... -0.00454642  0.00454264
  0.04928698]"
1121392_0:000e76|Desulfatibacillum_aliphaticivorans_DSM_15576.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.03660621 -0.00241869 -0.00192921 ... -0.02310698 -0.00853647
  0.00871156]"
2497945_0:000678|Shimia_sediminis.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.05305564  0.03974241 -0.02555804 ...  0.00789009  0.00768234
  0.03854671]"
40754_0:00063d|Thioploca_ingrica.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.04915234  0.05017538 -0.03235721 ... -0.02103969  0.03197824
  0.0459653 ]"
1685382_0:0006c7|Pseudoponticoccus_marisrubri.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.05359496  0.03722977 -0.02986747 ...  0.01370205  0.0022814
  0.03611103]"
667676_0:000c51|Paraburkholderia_diazotrophica.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.05580645  0.03200062 -0.02719419 ... -0.00928224  0.01315083
  0.02512277]"
641025_0:001af0|Lentzea_jiangxiensis.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.0810703   0.01915957 -0.02226415 ... -0.00060519 -0.02252362
  0.01891803]"
1121439_0:0003d8|Alkalidesulfovibrio_alkalitolerans_DSM_16529.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.06112465 -0.01421134 -0.02056609 ... -0.02558175  0.03259281
  0.01329842]"
1094558_0:000100|Bartonella_tamiae_Th239.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.05348167  0.01541884 -0.01029854 ...  0.02458998  0.0022269
  0.04599752]"
1848688_0:000e72|Microbacterium_sp._MYb43.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.07816556  0.01111153 -0.01389677 ...  0.00869197 -0.01267318
  0.0048891 ]"
29486_0:0007d8|Yersinia_ruckeri.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.07615882  0.05482457 -0.01940889 ... -0.00653428 -0.01483325
  0.02545989]"
190148_0:000f58|Bradyrhizobium_paxllaeri.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.06205993  0.04672282 -0.03058444 ... -0.01744423  0.01002215
  0.02936167]"
2203206_0:0016d3|Streptomyces_sp._WAC_04229.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 0.07143725 -0.00233165 -0.01162671 ...  0.01582226 -0.01854131
  0.00764501]"
1917163_0:00032d|Shewanella_sp._UCD-KL12.fasta,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,0.9174,"[ 6.8389513e-02  2.5364483e-02 -2.2408487e-02 ... -4.0931791e-05
  4.7015320e-03  4.9112350e-02]"
543615_0:000a20|Solitalea_koreensis.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.02648774 -0.03693065  0.00138905 ... -0.02321127  0.06246727
  0.02588894]"
1350776_0:0006f9|Brevundimonas_sp._G8.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.0128578  -0.01020542  0.02732618 ... -0.03509365  0.04000639
  0.02421769]"
2487134_0:000c4f|Clostridium_sp._E02.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[-0.00394672  0.00680151  0.00961224 ... -0.01025873  0.04227997
  0.00630287]"
1570137_0:000849|Arthrobacter_sp._B6.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.01902977 -0.02586905  0.03023088 ... -0.02820307  0.00290819
 -0.0225655 ]"
1085406_0:0012c9|Anabaenopsis_circularis_NIES-21.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.03432648  0.01569231  0.02309915 ... -0.03215655  0.02611773
  0.02837333]"
2267229_0:000e80|Ruegeria_sp._A3M17.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.03312821  0.03063362  0.02651827 ... -0.03035432  0.02335515
  0.03268985]"
1410647_0:0004d8|Bifidobacterium_ruminantium_DSM_6489.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.00917792 -0.03135476  0.03214539 ... -0.02973967  0.01176438
  0.01140168]"
1463904_0:000508|Streptomyces_sp._NRRL_S-378.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.00827742 -0.01000863  0.03173009 ... -0.02444816 -0.00668552
 -0.01143998]"
2364150_1:000412|Enterobacter_genomosp._O.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.02755862  0.05377483  0.0129133  ... -0.03119506 -0.01084633
  0.04121551]"
2116499_0:000fcd|Chryseobacterium_aurantiacum.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.08602009  0.02107843  0.00904592 ... -0.0041658   0.05825559
  0.01670563]"
1479651_0:00060f|Microbacterium_sp._CH12i.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.00982806 -0.06604964  0.02801026 ... -0.00583836  0.03150044
  0.00703412]"
2576035_0:000894|Arthrobacter_sp._NamB2.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.01908997 -0.01867651  0.02250542 ... -0.02279167  0.00801648
 -0.02988069]"
2083279_0:0011eb|Kaistia_algarum.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.01013029  0.03430493  0.0315367  ... -0.03201356  0.04121206
  0.01994793]"
1736391_0:00065e|Mycobacterium_sp._Soil538.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.02127778 -0.00283519  0.03469547 ... -0.0221899  -0.00718019
 -0.0052551 ]"
59919_0:00059c|Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.03540109 -0.00440668 -0.01059118 ... -0.04313427  0.01873572
  0.02076942]"
2480811_0:00020a|Pseudoxanthomonas_winnipegensis.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.01026663 -0.0181359   0.01768015 ... -0.02771985  0.03133584
  0.03808791]"
1045776_0:000829|Kutzneria_buriramensis.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.03444716  0.0030913   0.02999618 ... -0.03717716  0.00388756
 -0.01345644]"
2056843_0:00127d|Pseudomonas_sp._HMWF006.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.01818941  0.03982088  0.01450042 ... -0.02509425  0.02163278
  0.02983641]"
622637_0:00079d|Methylocystis_sp._ATCC_49242.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.00436006  0.03129565  0.0346214  ... -0.02992266  0.02766566
  0.01479889]"
1920421_0:0007e6|Paenibacillus_sp._FSL_H7-0331.fasta,4-hydroxy-tetrahydrodipicolinate_reductase,0.9322,"[ 0.03607807  0.00329444  0.02217481 ... -0.0172833   0.04582256
  0.02139883]"
47878_0:000472|Pseudomonas_azotoformans.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.00820707  0.00138863  0.03120338 ... -0.05297119  0.00484153
  0.02940652]"
304378_0:000fae|Sphingomonas_sp._IC081.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[-0.00165026 -0.00165145  0.02837718 ... -0.03475702 -0.00387237
  0.01540026]"
2133960_0:0005d6|Paraconexibacter_algicola.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[-0.00324889  0.00279723  0.03573394 ... -0.02556678 -0.03517919
  0.00466957]"
1707952_0:000a02|Chloroflexus_islandicus.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[-0.00187255  0.00325604  0.02969514 ... -0.0286447   0.00515314
  0.00795389]"
303_10:000c6b|Pseudomonas_putida.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.00846235  0.0022658   0.03129181 ... -0.05135569  0.00953723
  0.0317158 ]"
2497879_0:000c20|Colwellia_sp._Arc7-635.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.02130622  0.02709659  0.03636261 ... -0.04232457 -0.00202182
  0.02911724]"
1118153_0:000250|Halomonas_sp._GFAJ-1.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.01691323  0.01152167  0.03308779 ... -0.05724306 -0.0050351
  0.03449826]"
580_1:001072|Kluyvera_cryocrescens.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.0323327   0.04723438  0.0391468  ... -0.04931936 -0.01883529
  0.02019406]"
1380390_0:00166d|Solirubrobacterales_bacterium_URHD0059.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[-0.00129544  0.02691208  0.0316049  ... -0.03458518 -0.02520858
  0.01904187]"
649638_0:0001c7|Truepera_radiovictrix_DSM_17093.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 5.4292409e-03  4.9098603e-02  2.6673716e-02 ... -3.6664646e-02
 -2.7856784e-02  5.5553421e-05]"
1941349_0:000174|Sedimentisphaera_salicampi.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.01010338  0.01060138  0.05092465 ... -0.04182036  0.02858812
  0.01394341]"
1120999_0:000199|Andreprevotia_chitinilytica_DSM_18519.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.01138812  0.01630807  0.03013065 ... -0.04706444  0.0061188
  0.02594599]"
928885_0:0009b4|Nocardioides_sp._IMT03.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.02219396  0.02652303  0.02987392 ... -0.04394569 -0.04191987
  0.00699579]"
1122261_0:0006d9|Phreatobacter_oligotrophus.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.00103326 -0.00862265  0.03367228 ... -0.03564023  0.01770753
  0.02419785]"
95486_2:0007cb|Burkholderia_cenocepacia.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.01217928  0.00299843  0.03605372 ... -0.04053333  0.01355928
  0.02398202]"
33069_4:000164|Pseudomonas_viridiflava.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.00893748  0.00010043  0.02861087 ... -0.05002783  0.00305169
  0.03240499]"
587753_3:001602|Pseudomonas_chlororaphis.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.00745693  0.00401445  0.03132557 ... -0.05158213 -0.0025559
  0.02897749]"
53408_0:0005b2|Pseudomonas_citronellolis.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[-0.00507999  0.00376847  0.03992793 ... -0.03916922 -0.01164642
  0.03547773]"
239498_0:00063b|Tsukamurella_pseudospumae.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.01775043  0.01406597  0.02853042 ... -0.04461401 -0.04228353
  0.0170555 ]"
2587050_0:000b80|Terrabacter_sp._3211.fasta,ATP--corrinoid_adenosyltransferase,0.9469,"[ 0.0124919   0.02694066  0.02042435 ... -0.05809215 -0.04808042
  0.0078465 ]"
159449_0:0008b8|Embleya_scabrispora.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.04387261 -0.01313994 -0.02913428 ... -0.02054931 -0.03277598
 -0.01666125]"
1889770_0:00093f|Thioclava_sp._SK-1.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.03076831 -0.01410963 -0.02307373 ... -0.01728714 -0.015388
  0.02462641]"
2530200_0:00051d|Allomuricauda_alvinocaridis.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.07821585  0.00985321 -0.04254832 ...  0.00091214  0.02537969
  0.01139115]"
1234679_0:000524|Carnobacterium_maltaromaticum_LMA28.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.05948107 -0.01627356 -0.03065942 ... -0.01478328  0.02612889
  0.00933314]"
150177_0:0025c4|Acrocarpospora_macrocephala.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[-0.00351204  0.02058781  0.05867653 ... -0.03047856  0.08369513
  0.00309639]"
1658765_0:000034|Marinobacter_subterrani.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.06594134 -0.00402272 -0.03492098 ... -0.01199768 -0.01277939
  0.01345476]"
1244108_0:000029|Jannaschia_faecimaris.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.04672726 -0.00917845 -0.03672114 ... -0.02865786 -0.01310026
  0.01493383]"
1977872_0:000b2a|Acinetobacter_sp._ANC_4654.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.0891585  -0.02881886 -0.05417338 ... -0.04530668  0.01050941
  0.0002077 ]"
152332_0:0006a3|Lentilactobacillus_parakefiri.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.03288793 -0.02079222 -0.01093026 ...  0.01523878  0.02387456
  0.01477037]"
2023191_0:000d77|Leptospira_perolatii.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.08735996  0.00395156 -0.02052463 ... -0.01023537  0.04579648
 -0.0053802 ]"
284579_0:001001|Salibacterium_salarium.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.07216895 -0.01616837 -0.05631756 ... -0.00857801  0.02678994
  0.00071386]"
196490_0:001599|Bradyrhizobium_sp._Ai1a-2.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.04338963  0.0275571  -0.01332641 ... -0.02051058 -0.01550286
  0.0112619 ]"
1864824_0:000cae|Siphonobacter_sp._SORGH_AS_0500.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[-0.02665427 -0.01086418  0.04796191 ... -0.01835653  0.09451742
  0.00402561]"
1761886_0:0000a3|Prevotella_sp._lc2012.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.05433027  0.01763865 -0.01175367 ... -0.02264856  0.02111871
  0.00377231]"
1215385_0:0008c2|Paenibacillus_thermoaerophilus.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.06701635  0.0021921  -0.00442556 ... -0.02351043 -0.00990174
 -0.00015591]"
1111479_0:000686|Alicyclobacillus_pomorum_DSM_14955.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.05284175  0.01291995  0.02138306 ... -0.01328996  0.01026592
  0.02890084]"
2546448_0:0006a9|Sphingobacterium_endophyticum.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.0100441   0.03191863  0.03930836 ... -0.02075522  0.05013135
  0.00513049]"
1490483_0:000435|Mycobacterium_sp._SWH-M5.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[-0.00622099  0.01709537  0.02362832 ... -0.05071632  0.08089674
  0.00359082]"
863522_0:00037f|Bryocella_elongata.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.00253038  0.03814821  0.02684044 ... -0.02544742  0.02313693
 -0.02491352]"
85558_0:0005c7|Streptomyces_turgidiscabies.fasta,ATP_cob(I)alamin_adenosyltransferase,0.9351,"[ 0.05598947 -0.01237839 -0.01920529 ... -0.01223438 -0.02754473
  0.00128464]"
1898207_1:000af3|Clostridiales_bacterium.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.02078603  0.01739756  0.02231522 ... -0.03128982  0.05484284
  0.05793424]"
1883427_16:0000bc|Actinomycetes_bacterium.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.04755653  0.00309672 -0.02214552 ... -0.02554578  0.00606078
  0.02388359]"
2135677_0:000758|Nocardioides_sp._CF204.fasta,Amidophosphoribosyltransferase,0.9056,"[ 5.1215589e-02  2.2265770e-02  1.5305230e-02 ...  8.9732581e-05
 -1.6668241e-02  1.7179945e-02]"
546_4:0002fc|Citrobacter_freundii.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.04023934  0.04864791  0.00404847 ...  0.00488725 -0.01043723
  0.04493079]"
1094555_0:00037b|Bartonella_elizabethae_F9251_=_ATCC_49927.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.02539052  0.01417207 -0.01293401 ... -0.01648115  0.00576571
  0.03827729]"
1575_0:000a06|Leifsonia_xyli.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.05499847  0.02569808  0.00713392 ... -0.00404212 -0.02181812
  0.0248092 ]"
692418_0:0009b5|Reichenbachiella_faecimaris.fasta,Amidophosphoribosyltransferase,0.9056,[0.01405822 0.02918181 0.00161314 ... 0.02347867 0.02107626 0.04043803]
356829_0:00037e|Bifidobacterium_tsurumiense.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.02162311  0.00304958 -0.01576638 ...  0.00688389  0.02596704
  0.02900602]"
686796_0:0002e8|Algoriphagus_faecimaris.fasta,Amidophosphoribosyltransferase,0.9056,[0.00964192 0.0337086  0.00569464 ... 0.02272115 0.02037357 0.04788112]
1346790_0:00105d|Sphingobium_indicum_IP26.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.04161783  0.02915467 -0.00251501 ... -0.00615108  0.00531765
  0.04175483]"
1031537_0:000f70|Bremerella_cremea.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.02704044 -0.00245079 -0.03172599 ... -0.01040106 -0.00042693
  0.0304134 ]"
1423776_0:000484|Secundilactobacillus_odoratitofui_DSM_19909_=_JCM_15043.fasta,Amidophosphoribosyltransferase,0.9056,"[-0.00821832  0.00394838  0.00844061 ...  0.0200641   0.04994999
  0.05259318]"
500465_0:000910|Deferribacter_autotrophicus.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.04905548  0.04030856  0.00756433 ... -0.02691653  0.05884207
  0.06658298]"
1348778_0:0006ef|Rufibacter_immobilis.fasta,Amidophosphoribosyltransferase,0.9056,[0.00621216 0.0305128  0.00981186 ... 0.02341608 0.01841297 0.04513545]
1871008_0:000198|Eggerthella_timonensis.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.01645787 -0.0047195   0.01285601 ... -0.00106872  0.0400889
  0.04674347]"
1121861_0:000b67|Elioraea_tepidiphila_DSM_17972.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.02258405  0.03571787  0.01162594 ... -0.01539807  0.02132
  0.03215624]"
561184_0:00064c|Mameliella_alba.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.01313044  0.0184966  -0.00071286 ... -0.0175588   0.01285701
  0.0334755 ]"
363952_0:00105a|Comamonas_thiooxydans.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.04183723  0.04702301  0.00912836 ...  0.00235976 -0.0263946
  0.04854709]"
2485188_0:0003c2|Cellulomonas_sp._PhB150.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.04794553  0.03149418  0.01044188 ... -0.00677059 -0.01603509
  0.02459847]"
2571175_0:0006eb|Xanthomonadaceae_bacterium_CU05-9.fasta,Amidophosphoribosyltransferase,0.9056,"[ 0.01835067  0.02725069 -0.01003236 ...  0.01067202 -0.00769407
  0.04178192]"
2485998_0:0003d2|Lapidilactobacillus_bayanensis.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.02081643  0.04574769  0.02010057 ...  0.02121392 -0.01661338
  0.0380065 ]"
2320081_0:0007b3|Acutalibacter_sp._1XD8-33.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.02738119  0.03620766  0.03150608 ... -0.00053251  0.00894723
  0.04655218]"
1465756_0:0000f8|Peptoniphilus_grossensis.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,[0.03033191 0.02305169 0.01481687 ... 0.02400546 0.00756978 0.05268051]
940190_0:000146|Melissococcus_plutonius_ATCC_35311.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.02460561  0.03924176  0.01636193 ...  0.02133301 -0.01116629
  0.03786595]"
1809410_0:0000b3|Herminiimonas_arsenitoxidans.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.04007551  0.03534434  0.02925075 ...  0.03735235 -0.01620421
  0.05646668]"
1341156_0:0007d3|Ruminococcus_albus_SY3.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.02320133  0.03464968  0.0292007  ... -0.00416573  0.01643891
  0.04267681]"
516051_0:00040c|Allomuricauda_lutaonensis.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.02173536  0.0572296   0.01338996 ...  0.0550228  -0.01912888
  0.03456305]"
1121014_0:0006e3|Arenimonas_donghaensis_DSM_18148_=_HO3-R19.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.03574098  0.02800946  0.02641994 ...  0.0356074  -0.02089328
  0.04801571]"
2486007_0:0006ca|Companilactobacillus_hulinensis.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.01580894  0.04572554  0.02487307 ...  0.02059692 -0.00590599
  0.03832111]"
412965_0:00027b|Candidatus_Vesicomyosocius_okutanii.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,[0.01426504 0.01277943 0.00615664 ... 0.02878393 0.00838462 0.04357063]
1948890_0:0011b9|Rhodobacterales_bacterium.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.06005069  0.04393763  0.02637305 ...  0.04487365 -0.02590689
  0.06531478]"
1581060_0:000237|Brevibacterium_sp._HMSC24B04.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.04556599  0.03716149  0.02644593 ...  0.04698338 -0.02936364
  0.04278388]"
1580530_0:001931|Nonomuraea_sp._SBT364.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.04382096  0.05797987  0.02336758 ...  0.05457523 -0.03786698
  0.05004906]"
1392498_0:00098d|Maribacter_forsetii_DSM_18668.fasta,DNA-directed_RNA_polymerase_subunit_beta,0.9823,"[ 0.01985609  0.05402175  0.01339247 ...  0.05382846 -0.01507464
  0.03321084]"
